,where,selfdisp,profession,pass
1,0,4,1,0
2,0,5,1,0
3,0,1,5,0
4,1,7,6,1
5,1,2,1,0
6,1,10,9,1
7,1,6,7,1
8,1,6,10,1
9,0,10,3,0
10,1,10,7,0
11,0,7,4,1
12,1,7,9,1
13,0,10,4,1
14,1,10,9,1
15,0,9,5,1
16,1,8,3,1
17,0,9,4,1
18,0,8,6,1
19,0,8,4,1
20,1,10,5,1
21,1,9,6,1
22,0,1,1,0
23,1,2,7,0
24,1,4,3,1
25,0,1,6,0
26,1,8,4,0
27,0,9,1,0
28,0,10,3,0
29,1,10,6,1
30,0,6,1,0
31,0,7,2,0
32,1,1,7,0
33,0,10,9,1
34,0,10,4,1
35,0,8,2,0
36,0,2,10,0
37,0,3,2,0
38,0,10,6,1
39,1,2,4,0
40,1,2,3,0
41,1,2,9,0
42,1,6,7,1
43,1,7,10,1
44,0,10,6,1
45,0,3,2,0
46,1,5,4,0
47,0,10,5,1
48,0,10,8,1
49,1,2,9,0
50,1,6,3,0
51,1,5,10,1
52,1,4,3,1
53,1,6,9,1
54,0,8,6,1
55,0,4,4,0
56,1,9,1,0
57,1,1,5,0
58,0,8,8,1
59,0,5,3,0
60,1,1,8,0
