,response,efficiency,function,sense
1,9,7,6,8.77
2,8,6,9,7.99
3,6,7,9,6.13
4,9,5,7,8.59
5,3,2,6,2.59
6,2,3,6,2.38
7,5,9,5,6.6
8,3,9,8,6.44
9,2,2,6,1.77
10,10,10,8,9.96
11,9,7,6,8.66
12,5,6,9,5.31
13,10,9,5,9.78
14,8,6,5,7.6
15,2,3,5,1.84
16,10,9,8,9.63
17,8,10,7,8.35
18,2,4,6,2.65
19,8,10,7,7.88
20,1,7,5,3.3
21,7,3,6,6.72
22,7,7,8,6.57
23,4,10,8,4.22
24,4,7,10,2.71
25,7,1,9,6.55
26,2,10,8,2.38
27,5,9,6,5.4
28,7,4,9,7.48
29,1,1,8,1.43
30,6,3,7,6.28
31,6,4,8,6.09
32,6,10,10,8.03
33,6,3,6,6.04
34,2,1,7,2.62
35,6,6,9,5.95
36,5,5,7,5.21
37,7,2,5,6.91
38,5,4,10,4.64
39,3,3,6,2.64
40,7,9,9,7.07
41,3,5,9,3.01
42,9,5,10,9.37
43,8,6,10,8.09
44,6,6,8,6.28
45,7,5,6,6.63
46,2,2,5,2.18
47,8,3,9,7.85
48,1,10,9,5.39
49,4,3,8,3.77
50,8,9,9,7.96
51,3,1,7,3.32
52,8,10,5,8.02
53,5,5,6,4.92
54,8,5,8,7.65
55,5,4,7,4.83
56,7,4,7,7.4
57,1,10,8,6.5
58,9,5,5,9.01
59,2,7,9,5.59
60,9,10,9,8.65
