,landscape,ticket,traffic,malignant,sense,
1,4.19 ,18,4,0,1,
2,4.50 ,65,9,0,1,
3,1.19 ,60,4,1,0,
4,1.82 ,40,2,0,0,
5,3.18 ,0,3,0,0,
6,1.54 ,0,7,0,1,
7,2.98 ,455,5,1,0,
8,2.61 ,0,5,1,0,
9,3.44 ,2,2,0,1,
10,4.64 ,50,8,0,1,
11,3.42 ,50,7,0,1,
12,2.41 ,15,3,0,0,
13,3.78 ,9,4,0,1,
14,1.13 ,20,2,0,0,
15,3.88 ,50,8,0,1,
16,4.24 ,218,10,0,1,
17,1.48 ,10,6,0,0,
18,3.73 ,38,4,0,1,
19,1.92 ,10,5,0,0,
20,4.74 ,75,9,1,1,
21,3.27 ,60,8,0,1,
22,2.01 ,30,2,0,0,
23,3.76 ,40,6,0,1,
24,2.08 ,38,4,1,0,
25,2.37 ,0,7,1,1,
26,4.65 ,10,8,0,1,
27,3.51 ,0,6,0,0,
28,1.63 ,40,4,0,0,
29,1.19 ,15,4,0,0,
30,1.02 ,0,2,1,0,
31,3.97 ,0,8,0,1,
32,2.36 ,10,6,1,0,
33,2.11 ,35,6,1,1,
34,4.45 ,10,7,0,1,
35,3.45 ,60,9,0,1,
36,3.78 ,15,4,0,1,
37,3.12 ,22,8,0,1,
38,2.50 ,40,9,1,0,
39,3.92 ,33,6,0,1,
40,4.54 ,49,9,0,1,
41,2.53 ,25,9,0,0,
42,2.68 ,15,10,0,1,
43,4.09 ,36,10,1,0,
44,1.87 ,45,8,0,0,
45,2.19 ,25,6,1,0,
46,1.13 ,20,5,1,0,
47,2.58 ,30,9,1,1,
48,1.14 ,10,8,0,0,
49,1.94 ,30,8,1,0,
50,2.89 ,99,9,1,1,
51,4.68 ,100,8,0,0,
52,4.14 ,33,7,0,0,
53,4.62 ,52,10,0,1,
54,3.79 ,58,8,0,1,
55,2.18 ,22,5,1,0,
56,2.83 ,28,7,0,1,
57,4.45 ,20,8,0,0,
58,4.44 ,16,6,1,1,
59,4.08 ,70,9,0,0,
60,4.78 ,35,9,0,0,
